Province/State,Country/Region,Lat,Long,1/22/20,2/22/20,3/22/20,4/22/20,5/22/20,6/22/20,7/22/20,8/22/20,9/22/20,10/22/20,11/22/20,12/22/20,1/22/21,2/22/21,3/22/21,4/22/21,5/22/21,6/22/21,7/22/21,8/22/21,9/22/21,10/22/21,11/12/21
,Afghanistan,33.93911,67.709953,0,0,34,1092,9216,29229,35813,37980,39182,40510,44503,50888,54483,55617,56153,58312,65486,105749,143183,152511,154757,155931,156487
,Albania,41.1533,20.1683,0,0,89,634,981,1995,4358,8275,12666,18250,32761,53814,70655,101285,121544,130114,132176,132496,132797,139324,165096,180623,192013
,Algeria,28.0339,1.6596,0,0,201,2910,7918,11920,24872,41068,50214,55357,74862,96069,105124,112094,116255,120363,126651,136679,158213,191583,202122,205683,207764
,Andorra,42.5063,1.5218,0,0,113,723,762,855,889,1045,1681,3811,6256,7633,9416,10712,11545,12942,13569,13864,14464,14988,15153,15404,15819
,Angola,-11.2027,17.8739,0,0,2,25,60,186,812,2134,4236,8582,14493,16802,19269,20548,21757,25051,32149,37874,41405,45945,53387,63691,64875
,Antigua and Barbuda,17.0608,-61.7964,0,0,1,24,25,26,76,94,96,122,139,153,195,614,1072,1217,1257,1263,1277,1490,2625,3994,4106
,Argentina,-38.4161,-63.6167,0,0,266,3144,10649,44931,141900,336802,652174,1053650,1370366,1555279,1853830,2069751,2252172,2796768,3514683,4298782,4812351,5133831,5245265,5278910,5304059
,Armenia,40.0691,45.0382,0,0,194,1473,5928,20588,35693,42616,47667,70836,126224,154602,165711,170506,184219,211399,221880,224330,228161,237634,254709,291052,326830
Australian Capital Territory,Australia,-35.4735,149.0124,0,0,19,104,107,108,113,113,113,114,115,118,118,118,123,123,124,124,124,261,798,1701,1928
New South Wales,Australia,-33.8688,151.2093,0,4,669,2971,3086,3150,3633,3985,4212,4370,4542,4805,5084,5154,5270,5418,5570,5666,7492,18800,55962,73212,78200
Northern Territory,Australia,-12.4634,130.8456,0,0,5,28,29,29,31,33,33,33,46,71,98,104,106,149,171,177,191,200,208,225,231
Queensland,Australia,-27.4698,153.0251,0,5,259,1024,1060,1066,1074,1105,1153,1167,1196,1236,1303,1323,1422,1524,1597,1674,1764,1966,2021,2082,2106
South Australia,Australia,-34.9285,138.6007,0,2,100,438,439,440,446,462,466,485,556,566,596,612,642,702,748,788,850,869,899,917,919
Tasmania,Australia,-42.8821,147.3272,0,0,22,205,228,228,229,230,230,230,230,234,234,234,234,234,234,234,234,235,235,237,237
Victoria,Australia,-37.8136,144.9631,0,4,355,1336,1593,1864,7125,18231,20100,20330,20345,20361,20437,20479,20483,20506,20547,20697,20879,21526,30961,76886,103760
Western Australia,Australia,-31.9505,115.8605,0,0,120,546,557,607,651,652,665,747,804,846,890,913,931,982,1016,1020,1048,1063,1094,1112,1112
,Australia,-32.106275,141.3554875,0,15,1549,6652,7099,7492,13302,24811,26972,27476,27834,28237,28760,28937,29211,29638,30007,30380,32582,44920,92178,156372,188493
,Austria,47.5162,14.5501,0,0,3582,14925,16436,17380,19929,25062,39303,71844,247188,342226,401886,446644,516565,602494,640876,649728,655197,676526,728696,791226,934948
,Azerbaijan,40.1431,47.5769,0,0,65,1518,3855,13207,28633,35105,39378,47418,93094,205877,228526,233201,246974,307980,332235,335568,339274,391506,476409,511974,556430
,Bahamas,25.025885,-78.035889,0,0,4,65,97,104,219,1765,3467,6135,7413,7772,8101,8471,8923,9868,11396,12379,13781,16962,20288,22179,22572
,Bahrain,26.0275,50.55,0,0,334,2027,8414,22407,37637,49038,66402,79211,85705,90634,99210,118530,136741,168201,214870,263689,268225,271631,274524,276461,277184
