Province/State,Country/Region,Lat,Long,1/22/20,2/22/20,3/22/20,4/22/20,5/22/20,6/22/20,7/22/20,8/22/20,9/22/20,10/22/20,11/22/20,12/22/20,1/22/21,2/22/21,3/22/21,4/22/21,5/22/21,6/22/21,7/22/21,8/22/21,9/22/21,10/22/21,11/22/21
,Afghanistan,33.93911,67.709953,0,0,1,166,996,8841,23924,28016,32576,33831,35934,39585,46912,48895,49743,52348,55889,65565,82586,82586,82586,82586,82586
,Albania,41.1533,20.1683,0,0,2,356,777,1159,2463,4184,7042,10395,15842,29249,42895,64318,85846,103582,128601,129941,130109,130109,130109,130109,130109
,Algeria,28.0339,1.6596,0,0,65,1204,4256,8559,16983,28874,35307,38618,48794,64020,71552,77225,80887,83900,88208,95084,108537,108537,108537,108537,108537
,Andorra,42.5063,1.5218,0,0,1,309,652,796,803,875,1199,2470,5358,7073,8537,10245,11014,12375,13234,13665,13988,13988,13988,13988,13988
,Angola,-11.2027,17.8739,0,0,0,6,17,77,221,814,1462,3305,7346,9729,17223,19190,20090,22901,26775,32003,35082,35082,35082,35082,35082
,Antigua and Barbuda,17.0608,-61.7964,0,0,0,10,19,22,58,89,92,107,128,144,162,222,701,995,1192,1221,1225,1225,1225,1225,1225
,Argentina,-38.4161,-63.6167,0,0,3,872,3062,13153,60531,245781,517228,851854,1195492,1379726,1636826,1872213,2037686,2449793,3083298,3928389,4447953,4447953,4447953,4447953,4447953
,Armenia,40.0691,45.0382,0,0,2,633,2874,9131,24766,35907,42676,49787,94090,134586,154259,162098,168721,191158,210835,216182,218676,218676,218676,218676,218676
Australian Capital Territory,Australia,-35.4735,149.0124,0,0,0,93,104,105,109,110,110,110,111,114,115,115,116,120,121,121,121,121,121,121,121
New South Wales,Australia,-33.8688,151.2093,0,4,4,1926,2653,2771,2988,2989,2990,2991,2992,2993,2994,2995,2996,2997,2998,2999,3000,3001,3002,3003,3004
Northern Territory,Australia,-12.4634,130.8456,0,0,0,16,29,29,30,33,33,33,39,62,90,101,105,111,165,174,188,188,188,188,188
Queensland,Australia,-27.4698,153.0251,0,1,8,738,1041,1053,1063,1082,1124,1155,1172,1215,1266,1309,1335,1453,1574,1621,1707,1707,1707,1707,1707
South Australia,Australia,-34.9285,138.6007,0,2,3,388,435,436,441,452,462,473,514,559,590,604,624,669,740,777,822,822,822,822,822
Tasmania,Australia,-42.8821,147.3272,0,0,3,77,199,215,215,216,217,217,217,221,221,221,221,221,221,221,221,221,221,221,221
Victoria,Australia,-37.8136,144.9631,0,4,70,1243,1479,1712,3298,13239,18628,19340,19525,19527,19584,19634,19664,19665,19715,19827,19901,19901,19901,19901,19901
Western Australia,Australia,-31.9505,115.8605,0,0,0,451,545,594,626,634,650,690,774,828,869,901,912,944,1003,1009,1025,1025,1025,1025,1025
